"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4305",12174,"Iron, IIIAB",42600,"Found",1884,35.76667,-91.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"6696.2",24087,"L6",236,"Found",1920,44.01667,28.63333,"L","Chondrite","Stony","Ordinary","L","0",1
"7371",34062,"Iron, IAB complex",691,"Found",1980,30.33333,-98.95,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"5579",22397,"Iron, IIIAB",549000,"Found",1909,-28.83333,21.13333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"694.1",5064,"L/LL4",330000,"Fell",1899,60.4,25.8,"LL","Chondrite","Stony","Ordinary","LL","0",1
"4426.2",12328,"CM2",164,"Found",1968,64.45,27.56667,"CM","Chondrite","Stony","Carbonaceous","CM-CO","0",1
"5534",18907,"L/LL5",1275,"Fell",1982,32.08333,121.5,"LL","Chondrite","Stony","Ordinary","LL","0",1
"4869",16724,"L3",116.8,"Found",1963,-29.4,139.98333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"486",2302,"Angrite",1500,"Fell",1869,-22.96667,-44.31667,"Angrite","Achondrite","Stony","Asteroidal",NA,"2",0.064345060252235
"6398",23693,"Iron, IIAB",14500,"Found",1979,32,-98,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"3218",7735,"Iron",367,"Found",1979,23.9,108.1,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"6696.3",24087,"L6",236,"Found",1920,44.01667,28.63333,"L","Chondrite","Stony","Ordinary","L","0",1
"4701",14761,"Iron",46,"Found",1940,42.76667,-104.35,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"6980",30394,"L4",27.7,"Found",1984,18.33333,-97.5,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
