"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"5277",17960,"H4",363,"Fell",1925,43.33333,141.86667,"H","Chondrite","Stony","Ordinary","H","10",0.461815233876118
"5286",17969,"Iron, IIIAB",737.6,"Fell",1939,21.20833,94.91667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897
"5287",17970,"LL5",1100,"Fell",1914,47.55,22.025,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"5295",17979,"H4",5e+05,"Fell",1887,57.78333,55.26667,"H","Chondrite","Stony","Ordinary","H","10",0.461815233876118
"5301",17988,"H5",1400,"Fell",1927,52.28333,8.05,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"5302",17989,"L6",6000,"Fell",1855,58.5,23,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"5303",17990,"L6",3750,"Fell",1900,47.88333,22.03333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"5305",17994,"H6",14360,"Fell",1741,33.28333,130.2,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5306",17995,"H5",16250,"Fell",1857,46.06667,23.58333,"H","Chondrite","Stony","Ordinary","H","10",0.461815233876118
"5307",17996,"L5",7700,"Fell",1963,6.75,8.5,"L","Chondrite","Stony","Ordinary","L","17",3.8504410331384
"5308",17997,"L6",5850,"Fell",1926,38.18333,-5.4,"L","Chondrite","Stony","Ordinary","L","15",0.406210536590808
"5309",17998,"H5",194,"Fell",1958,36.18333,139.21667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5311",18000,"Iron, IIAB",4742,"Fell",1904,35.08333,135.2,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","11",0.00485781484723708
"5313",18002,"LL6",12000,"Fell",1834,50.83333,25.5,"LL","Chondrite","Stony","Ordinary","LL","10",0.461815233876118
"5319",18009,"L6",16570,"Fell",1930,52.95,8.16667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"5321",18012,"Stone-uncl",367,"Fell",1519,39,-0.03333,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"5322",18013,"LL5",150000,"Fell",1924,38.71667,-7.06667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"5324",18015,"H5",40000,"Fell",1929,39.56667,-2.1,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"5327",18019,"Pallasite, PMG",250000,"Fell",1981,64.02,161.80833,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"6",15.1999643132716
"5332",18026,"CI1",14000,"Fell",1864,43.88333,1.38333,"CI","Chondrite","Stony","Carbonaceous","CI","11",0.00485781484723708
"5335",18030,"CO3.4",6000,"Fell",1868,47.11667,6.15,"CO","Chondrite","Stony","Carbonaceous","CM-CO","11",0.00485781484723708
