"","lat_gs","long_gs","ffscore","fallorfind"
"969",44,10,1,"fall"
"970",45,10,1,"fall"
"971",47,10,0,"both"
"972",48,10,1,"fall"
"973",50,10,0,"both"
"974",51,10,0,"both"
"975",54,10,1,"fall"
"976",55,10,1,"fall"
"977",56,10,1,"fall"
"978",59,10,1,"fall"
"979",11,11,1,"fall"
"980",12,11,1,"fall"
"981",19,11,-1,"find"
"982",20,11,-1,"find"
"983",28,11,-1,"find"
"984",29,11,-1,"find"
"985",30,11,-1,"find"
"986",31,11,-1,"find"
"987",43,11,1,"fall"
"988",44,11,0,"both"
"989",45,11,1,"fall"
"990",47,11,-1,"find"
"991",48,11,1,"fall"
"992",49,11,-1,"find"
"993",50,11,1,"fall"
"994",52,11,1,"fall"
"995",54,11,1,"fall"
"996",55,11,-1,"find"
"997",60,11,1,"fall"
"998",7,12,1,"fall"
