"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"9793",9793,57158,"H5",25.9,"Found",2011,34.82658,-114.27763,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1812",1812,6221,"L6",252,"Found",1999,26.98333,16.38333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2228",2228,6697,"Iron, IIIAB",1724,"Found",1889,33.81667,-97,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"8612",8612,51930,"H5",154.2,"Found",2009,20.12538,56.55335,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1747",1747,6155,"L6",1870,"Found",1998,26.97033,16.36083,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1526",1526,5932,"H4",60,"Found",1997,27.41217,16.20183,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1680",1680,6087,"L6",28,"Found",1997,27.1835,16.30267,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"1743",1743,6151,"H4",180,"Found",1998,26.979,16.31083,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"6345",6345,23632,"CK4",6.04,"Found",1992,-30.16667,126.40433,"CK","Chondrite","Stony","Carbonaceous","CV-CK",11,0.00485781484723708
"9362",9362,55657,"L3.8",473.8,"Found",2010,20.18758,55.66763,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"9185",9185,55428,"H4",4335.1,"Found",2010,21.04832,55.57372,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"5901",5901,23179,"Iron, IAB complex",17500,"Found",1964,45.9835,105.75883,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",2,0.463225690897741
"7828",7828,45860,"H4-6",199.51,"Found",2006,19.90265,55.655383,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7406",7406,34519,"Ureilite",404,"Found",2002,19.3025,54.555,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,11,0.00485781484723708
"8059",8059,48608,"L6",6442,"Found",2007,19.73183,56.32925,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"7227",7227,31332,"H5",38.9,"Found",2004,35.23705,-117.01618,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"4516",4516,12422,"H3-6",70000,"Found",1999,27.16667,-9.5,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2041",2041,6451,"H6",144,"Found",2000,27.13683,16.1455,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"9339",9339,55606,"L4",25.6,"Found",2012,32.891,9.913,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"3053",3053,7522,"L5",121,"Found",2000,18.86208,54.67937,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
